Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OperatorSkillScore,RequiredSkillByRole,Name,Email,Phone Number,Skills
58,Yes,Non-Travel,1129,Logistics,25,2,Mechanical Engineering,1,1,3,Female,103,2,1,Farm Liaison Officer,4,Divorced,61848,16618,5,No,14,4,1,0,2,2,3,4,7,10,4,0.853214458,0.3,Pooja Malhotra,pooja@example.com,919999999999.0,
48,No,Frequently,1470,Maintenance,12,2,Food Technology,1,2,2,Female,66,3,2,Farm Liaison Officer,1,Divorced,26820,19245,8,No,12,2,4,1,11,1,1,28,17,11,16,0.541431134,0.3,Arjun Joshi,arjun.joshi926@example.com,918000000000.0,
34,No,Rarely,719,Quality Control,25,1,Biotechnology,1,3,3,Female,124,1,1,Dairy Lab Technician,3,Divorced,28512,12027,5,Yes,18,2,4,0,39,0,1,22,4,5,3,0.640218071,0.55,Dev Patel,dev.patel681@example.com,918000000000.0,
27,Yes,Rarely,1364,Logistics,17,2,Biotechnology,1,4,3,Female,79,1,1,Dairy Quality Analyst,1,Married,56725,15986,0,No,22,4,4,2,24,1,3,20,19,9,0,0.649530239,0.55,Pooja Gandhi,pooja.gandhi482@example.com,920000000000.0,
40,No,Frequently,561,Maintenance,26,1,Dairy Science,1,5,4,Male,148,3,4,Cheese Production Technician,4,Married,71534,14400,4,No,19,4,4,1,16,5,4,25,10,0,5,0.553468588,0.5,Meera Patel,meera.patel322@example.com,917000000000.0,
58,No,Non-Travel,207,Production,46,4,Mechanical Engineering,1,6,4,Female,71,3,1,Logistics & Supply Chain Coordinator,2,Single,105151,5526,8,No,14,4,1,1,37,2,3,22,8,13,0,0.299415431,0.35,Nisha Mehta,nisha.mehta283@example.com,917000000000.0,
38,No,Rarely,677,Farm Operations,48,2,Logistics,1,7,4,Male,92,3,4,Milk Processing Operator,3,Married,59776,13593,4,No,15,4,4,1,35,2,2,1,18,13,3,0.726227351,0.45,Meera Sharma,meera.sharma400@example.com,916000000000.0,
42,No,Rarely,694,Farm Operations,14,2,Mechanical Engineering,1,8,3,Male,76,4,3,Dairy Quality Analyst,1,Divorced,80945,3622,5,Yes,12,3,3,1,35,3,3,13,11,5,1,0.607250085,0.55,Pooja Bose,pooja.bose514@example.com,918000000000.0,
30,No,Rarely,1032,Production,41,3,Biotechnology,1,9,2,Female,86,4,4,Milk Processing Operator,4,Married,103420,7518,2,No,19,3,4,0,18,3,4,13,4,9,12,0.283076431,0.45,Nisha Joshi,nisha.joshi877@example.com,918000000000.0,
30,No,Frequently,1262,Production,36,4,Logistics,1,10,1,Male,95,4,1,Dairy Quality Analyst,2,Single,67455,4657,7,No,16,4,3,0,1,5,3,3,15,1,13,0.690225378,0.55,Sneha Joshi,sneha.joshi70@example.com,919000000000.0,
43,No,Non-Travel,792,Farm Operations,23,4,Mechanical Engineering,1,11,3,Female,84,4,3,Cold Storage Supervisor,2,Divorced,103488,10699,9,No,18,4,1,0,16,2,1,16,12,10,16,0.691934283,0.4,Rohit Nair,rohit.nair198@example.com,917000000000.0,
55,No,Frequently,386,Maintenance,43,3,Food Technology,1,12,4,Male,53,2,4,Packaging Machine Operator,1,Married,72433,15955,3,No,18,1,3,2,29,5,4,14,5,3,10,0.583940512,0.4,Sneha Patel,sneha.patel644@example.com,919000000000.0,
59,No,Rarely,953,Farm Operations,6,3,Dairy Science,1,13,1,Male,129,1,1,Logistics & Supply Chain Coordinator,4,Married,29711,4656,3,No,23,1,1,0,9,2,2,15,15,5,2,0.263384167,0.35,Nisha Joshi,nisha.joshi223@example.com,919000000000.0,
43,No,Non-Travel,292,Production,47,1,Mechanical Engineering,1,14,2,Female,129,3,3,Logistics & Supply Chain Coordinator,2,Single,79262,18673,4,No,24,1,4,1,34,0,4,4,17,2,6,0.446850822,0.35,Dev Bose,dev.bose762@example.com,919000000000.0,
22,No,Frequently,285,Logistics,5,1,Mechanical Engineering,1,15,1,Female,134,1,4,Milk Processing Operator,2,Divorced,106009,7858,9,Yes,22,2,2,2,35,1,1,23,16,2,9,0.235646875,0.45,Nisha Nair,nisha.nair858@example.com,919000000000.0,
41,No,Rarely,1267,Quality Control,43,2,Food Technology,1,16,4,Female,75,3,1,Dairy Lab Technician,3,Single,103785,12401,8,No,19,3,3,2,32,3,2,16,11,11,10,0.534317213,0.55,Priya Kapoor,priya.kapoor384@example.com,917000000000.0,
21,No,Rarely,336,Logistics,25,2,Biotechnology,1,17,3,Female,149,1,1,Cold Storage Supervisor,2,Divorced,29597,10758,7,Yes,23,3,3,1,0,0,4,22,0,2,9,0.834512992,0.4,Riya Pillai,riya.pillai557@example.com,919000000000.0,
43,Yes,Rarely,620,Logistics,18,2,Dairy Science,1,18,3,Male,68,2,2,Logistics & Supply Chain Coordinator,1,Divorced,80067,3473,6,No,19,1,2,1,17,1,4,6,6,3,7,0.201577088,0.35,Rohit Joshi,rohit.joshi549@example.com,917000000000.0,
49,No,Rarely,273,Production,13,2,Mechanical Engineering,1,19,4,Female,130,4,2,Cheese Production Technician,4,Married,107520,15281,4,Yes,14,1,1,1,3,3,1,22,13,8,4,0.386647057,0.5,Arjun Gandhi,arjun.gandhi723@example.com,916000000000.0,
40,No,Non-Travel,370,Logistics,28,2,Dairy Science,1,22,3,Male,71,1,4,Cheese Production Technician,4,Single,38782,9673,9,No,21,1,3,2,27,4,2,11,19,3,15,0.207121406,0.5,Sahil Patel,sahil.patel679@example.com,917000000000.0,
52,No,Rarely,369,Farm Operations,18,4,Mechanical Engineering,1,23,3,Male,107,2,1,Maintenance Engineer,1,Divorced,71782,16281,9,No,21,4,1,1,21,4,1,10,9,3,3,0.62757301,0.6,Arjun Reddy,arjun.reddy724@example.com,920000000000.0,
31,No,Rarely,1071,Maintenance,28,2,Food Technology,1,24,3,Male,112,2,4,Milk Processing Operator,2,Single,92144,5251,1,No,22,1,4,0,24,3,1,18,14,6,15,0.75243983,0.45,Riya Mehta,riya.mehta483@example.com,918000000000.0,
41,No,Rarely,521,Logistics,27,3,Mechanical Engineering,1,25,2,Male,77,1,1,Milk Processing Operator,3,Divorced,118651,7054,3,No,12,3,1,1,16,0,3,10,10,4,11,0.743553792,0.45,Sneha Joshi,sneha.joshi174@example.com,917000000000.0,
44,Yes,Rarely,655,Maintenance,32,2,Mechanical Engineering,1,26,2,Female,114,4,4,Farm Liaison Officer,4,Single,75013,3716,7,No,15,3,2,0,11,1,3,1,3,11,13,0.745704615,0.3,Riya Malhotra,riya.malhotra150@example.com,919000000000.0,
46,No,Rarely,1143,Farm Operations,47,2,Logistics,1,27,4,Male,93,3,1,Cold Storage Supervisor,3,Single,92036,11204,0,No,21,1,2,1,15,1,2,14,14,1,11,0.452704441,0.4,Ankit Nair,ankit.nair556@example.com,920000000000.0,
